Player,Scores
Nikola Jokić\jokicni01,-0.0004890203297476248
Matthew Dellavedova\dellama01,-0.0003456632524078129
Ashton Hagans\haganas01,-0.00033122248010342137
Will Magnay\magnawi01,-0.00033122248010342137
Greg Whittington\whittgr01,-0.00033122248010342137
Russell Westbrook\westbru01,-0.00029965319064806373
Ricky Rubio\rubiori01,-0.0002674131416646741
Clint Capela\capelca01,-0.00017848915187335113
Chris Paul\paulch01,-0.00011725686078234432
Giannis Antetokounmpo\antetgi01,-0.00011079759874099704
Michael Porter Jr.\portemi01,-0.00010812525313474985
James Harden\hardeja01,-0.00010750497011358107
Draymond Green\greendr01,-9.562545950458912e-05
Andre Drummond\drumman01,-6.799942296209505e-05
Mason Plumlee\plumlma01,-3.879315425969754e-05
Moses Brown\brownmo01,-3.879294547382006e-05
Bryn Forbes\forbebr01,-9.963098615561883e-06
Darius Garland\garlada01,1.2029231035270982e-05
Dejounte Murray\murrade01,3.7396870501305024e-05
Damian Lillard\lillada01,8.977426725587101e-05
Domantas Sabonis\sabondo01,0.00011718298881580047
Jordan Bell\belljo01,0.00014747281899263331
Ed Davis\davised01,0.00017479174058609992
Luka Dončić\doncilu01,0.00019769805860492262
Bradley Beal\bealbr01,0.0002088330347841394
Joel Embiid\embiijo01,0.00020948998723069323
Norman Powell\powelno01,0.0002198713884355996
Stephen Curry\curryst01,0.00033801472069106
Eric Gordon\gordoer01,0.00039147135942096956
Trae Young\youngtr01,0.00042429176825065085
T.J. McConnell\mccontj01,0.0011548948495911926
Gary Trent Jr.\trentga02,0.0013009009490109191
Nerlens Noel\noelne01,0.005860980996786669
Cameron Reynolds\reynoca01,0.009522528729567048
Derrick Rose\rosede01,0.012558404579171123
JaVale McGee\mcgeeja01,0.013785177656406411
Jay Scrubb\scrubja01,0.01386922606006502
Ignas Brazdeikis\brazdig01,0.014161707944165047
Collin Sexton\sextoco01,0.014243872300499616
D'Angelo Russell\russeda01,0.014750393379192372
Ben Simmons\simmobe01,0.015703902017431326
Rajon Rondo\rondora01,0.017686849332034793
Derrick Favors\favorde01,0.0189784303351751
Terrance Ferguson\fergute01,0.020198242047103077
Damian Jones\jonesda03,0.020918933423912378
Gary Clark\clarkga01,0.022022015131843098
De'Aaron Fox\foxde01,0.023146285232661046
Theo Pinson\pinsoth01,0.023173359792787784
Al-Farouq Aminu\aminual01,0.02340535754338513
Freddie Gillespie\gillefr01,0.023746573115486003
Daniel Gafford\gaffoda01,0.024907915992480767
Thaddeus Young\youngth01,0.025180105988608203
Boban Marjanović\marjabo01,0.026327766816988785
Nate Darling\darlina01,0.027444004512173437
Jared Harper\harpeja01,0.028198360073271367
John Wall\walljo01,0.028243851069215342
Brook Lopez\lopezbr01,0.029407133650768746
Chris Silva\silvach01,0.030588384423916648
Brian Bowen\bowenbr02,0.030588384423916648
Dwight Howard\howardw01,0.030797240998492903
Aaron Gordon\gordoaa01,0.030877813965592305
LaMelo Ball\ballla01,0.031038009486827556
Noah Vonleh\vonleno01,0.031712658270756644
Bam Adebayo\adebaba01,0.031720479969408744
Killian Hayes\hayeski01,0.03183099646727605
Anderson Varejão\varejan01,0.03386327396640221
Mitchell Robinson\robinmi01,0.03476579556944348
Taj Gibson\gibsota01,0.03527457797087685
John Collins\collijo01,0.03691182010509786
Iman Shumpert\shumpim01,0.03695714353393065
Hassan Whiteside\whiteha01,0.03734282270702627
Norvel Pelle\pelleno01,0.03785015491794652
Ben McLemore\mclembe01,0.03825511791354752
Devin Cannady\cannade01,0.040347070634203064
Jordan Poole\poolejo01,0.040431503154798154
Kristaps Porziņģis\porzikr01,0.04082227722563425
Evan Fournier\fournev01,0.04134796117285011
T.J. Warren\warretj01,0.041568189577711134
Dāvis Bertāns\bertada01,0.04161284095602469
Lauri Markkanen\markkla01,0.04186705507701194
Jaylen Adams\adamsja01,0.041991233417914886
Jusuf Nurkić\nurkiju01,0.0420301861246396
Devonte' Graham\grahade01,0.04255040240083674
James Wiseman\wisemja01,0.04279103427154718
JaKarr Sampson\sampsja02,0.04334292543913343
Christian Wood\woodch01,0.043773689808283445
Steven Adams\adamsst01,0.044508273704154666
Grant Riller\rillegr01,0.044953489197923746
Marcus Morris\morrima03,0.0449791103481455
Nikola Vučević\vucevni01,0.04534162299231592
Nick Richards\richani01,0.04553242541434943
Tim Frazier\fraziti01,0.047120369925109484
Alize Johnson\johnsal02,0.04778160498101369
Ray Spalding\spaldra01,0.0477820099184022
Khris Middleton\middlkh01,0.048029742077520865
Udoka Azubuike\azubuud01,0.048104857040767834
Malik Fitts\fittsma01,0.04811195722641237
Udonis Haslem\hasleud01,0.049007229460635626
Jerami Grant\grantje01,0.04919743043970837
Jaxson Hayes\hayesja02,0.04971579919897784
Cassius Stanley\stanlca01,0.050049672758014974
Tacko Fall\fallta01,0.05035773180882597
Marques Bolden\boldema01,0.05047948625440224
Rudy Gobert\goberru01,0.050496353160450536
Pascal Siakam\siakapa01,0.05073660639213973
Keljin Blevins\blevike01,0.05082704120649939
Delon Wright\wrighde01,0.051206118460736305
Marquese Chriss\chrisma01,0.05161944732853885
Frank Jackson\jacksfr01,0.05252453439499638
Willie Cauley-Stein\caulewi01,0.0537873845615785
Tony Bradley\bradlto01,0.05388657974455946
Dewayne Dedmon\dedmode01,0.053942952510820374
Quinn Cook\cookqu01,0.053943496167329186
Sindarius Thornwell\thornsi01,0.054318253981509135
Lonzo Ball\balllo01,0.054556787373162385
Dillon Brooks\brookdi01,0.054636283224875015
Kostas Antetokounmpo\antetko01,0.054909982782718414
Ja Morant\moranja01,0.05493322841274684
Jimmy Butler\butleji01,0.05497392494047648
Jaren Jackson Jr.\jacksja02,0.05515934824305879
Patty Mills\millspa02,0.05521643031323553
Jaylen Brown\brownja02,0.0552517279432333
Zion Williamson\willizi01,0.055285231526977396
Mo Bamba\bambamo01,0.055639207784383915
Kelly Olynyk\olynyke01,0.05609393868054813
Donta Hall\halldo01,0.056545946964146165
Lou Williams\willilo02,0.05665199095359352
Royce O'Neale\onealro01,0.05692573737547446
Mfiondu Kabengele\kabenmf01,0.057008485683418875
T.J. Leaf\leaftj01,0.057141071601818805
Jarred Vanderbilt\vandeja01,0.05727002160400574
Gary Harris\harriga01,0.057419516764251166
Tim Hardaway Jr.\hardati02,0.057549318058001786
Tyler Cook\cookty01,0.05758220160022964
Doug McDermott\mcderdo01,0.05759040430875073
Gordon Hayward\haywago01,0.057614891657202794
Jordan Nwora\nworajo01,0.057629851683083766
LeBron James\jamesle01,0.05779802080717944
Adam Mokoka\mokokad01,0.05780244508973953
Larry Nance Jr.\nancela02,0.05843588220337026
Cory Joseph\josepco01,0.058648657851267494
Mike Conley\conlemi01,0.058802887710096674
Chris Chiozza\chiozch01,0.05887116416528315
Tyrese Haliburton\halibty01,0.05888421765387386
Aron Baynes\baynear01,0.05923079078860061
Markelle Fultz\fultzma01,0.059448124538603264
Tobias Harris\harrito02,0.059689866110465783
Rodions Kurucs\kurucro01,0.05970755341306455
Mychal Mulder\muldemy01,0.05978018357117798
Bruno Fernando\fernabr01,0.05984225519371544
Onyeka Okongwu\okongon01,0.05993759958470335
Mike Muscala\muscami01,0.06007481507384649
Kevin Porter Jr.\porteke02,0.06053431574739343
Harrison Barnes\barneha02,0.06086624106119054
Marcus Smart\smartma01,0.06089630726310835
Victor Oladipo\oladivi01,0.06117458289430233
Dennis Schröder\schrode01,0.06151803881079687
Tomáš Satoranský\satorto01,0.06161812299663827
Kyle Lowry\lowryky01,0.061734188747980756
Oshae Brissett\brissos01,0.06174071955409244
Nicolas Claxton\claxtni01,0.06254565581079452
Vincent Poirier\poirivi01,0.06275357410705484
Isaiah Stewart\stewais01,0.06276425728457924
Taurean Prince\princta02,0.06282519032074618
Elijah Hughes\hugheel01,0.06287550865902614
Tremont Waters\watertr01,0.06306746307484146
Ty-Shon Alexander\alexaty01,0.06317653537510604
Kelly Oubre Jr.\oubreke01,0.06323529171802245
Blake Griffin\griffbl01,0.06374832583004508
George Hill\hillge01,0.06387682920161797
Kyle Anderson\anderky01,0.06395014932160281
Tristan Thompson\thomptr01,0.0640574389025863
Nate Hinton\hintona01,0.06415032501747286
Devin Booker\bookede01,0.06424980116215706
Shake Milton\miltosh01,0.06432549365361373
Al Horford\horfoal01,0.06469693378411068
Bismack Biyombo\biyombi01,0.06497767087657857
Paul George\georgpa01,0.06509939051448776
Tyrell Terry\terryty01,0.06512622441137772
Shaquille Harrison\harrish01,0.06512622441137772
Naz Reid\reidna01,0.06529347022816312
Tyler Bey\beyty01,0.06555610173030302
Drew Eubanks\eubandr01,0.06561491609786019
Jrue Holiday\holidjr01,0.06606231999673562
Enes Kanter\kanteen01,0.06636896713057294
Jared Dudley\dudleja01,0.06643726982759146
Devontae Cacok\cacokde01,0.06668408889706257
Robin Lopez\lopezro01,0.0666903926007637
D.J. Augustin\augusdj01,0.06688992018626716
Bruno Caboclo\cabocbr01,0.06696234126550893
Michael Carter-Williams\cartemi01,0.06733032466231759
Precious Achiuwa\achiupr01,0.06768253675797942
Malik Beasley\beaslma01,0.06770308811925607
Cassius Winston\winstca01,0.06771872126466683
Kevon Looney\looneke01,0.06778282995667506
Anthony Davis\davisan02,0.06778331441476604
Max Strus\strusma01,0.06793082199255407
Carmelo Anthony\anthoca01,0.0681538771681558
Jalen Smith\smithja04,0.06816251463201295
Jontay Porter\portejo01,0.06823658774270513
Anthony Tolliver\tollian01,0.06834337662538847
Trey Lyles\lylestr01,0.06836766522218074
Gary Payton II\paytoga02,0.06847801623144623
Khem Birch\birchkh01,0.06865803343880994
Juan Hernangómez\hernaju01,0.06875682993714405
CJ McCollum\mccolcj01,0.06908657272469731
Caris LeVert\leverca01,0.06915441328937222
Alex Len\lenal01,0.06927506596701327
Andre Roberson\roberan03,0.06958720593257406
Montrezl Harrell\harremo01,0.06960508658787112
Bol Bol\bolbo01,0.0697496733635442
Malcolm Brogdon\brogdma01,0.06979046785310139
Vernon Carey Jr.\careyve01,0.07011623828119962
Trey Burke\burketr01,0.07033415212399752
Immanuel Quickley\quickim01,0.07034778800176344
Kevin Durant\duranke01,0.07040465961899123
Khyri Thomas\thomakh01,0.07063953591021566
Fred VanVleet\vanvlfr01,0.07068624531000589
JaMychal Green\greenja01,0.07074571379583472
Nathan Knight\knighna01,0.07109471591342154
Cole Anthony\anthoco01,0.07119806696153641
Anžejs Pasečņiks\pasecan01,0.07160290510810075
Wayne Ellington\ellinwa01,0.07162954104451913
Bojan Bogdanović\bogdabo02,0.07197058310165949
Coby White\whiteco01,0.07228908458322636
Robert Woodard\woodaro01,0.07240549668844354
Willy Hernangómez\hernawi01,0.07277696497173236
Kemba Walker\walkeke02,0.07307910261703088
Chandler Hutchison\hutchch01,0.07320177188755961
Myles Turner\turnemy01,0.07323430612386805
Monte Morris\morrimo01,0.0735529128726008
DeMar DeRozan\derozde01,0.07359614407654669
Jamal Murray\murraja01,0.07368130345659885
Juwan Morgan\morgaju01,0.07387054867281817
Jayson Tatum\tatumja01,0.07391479338726348
Marvin Bagley III\baglema01,0.07436247318003197
Garrison Mathews\mathega01,0.07454910509632118
Quinndary Weatherspoon\weathqu01,0.07483336580079691
Justin Jackson\jacksju01,0.07494680430244627
Moritz Wagner\wagnemo01,0.07505614761835533
Chris Boucher\bouchch01,0.07585125940776727
Patrick McCaw\mccawpa01,0.07611585098598439
Sean McDermott\mcderse01,0.0763229365349366
Derrick White\whitede01,0.07633247330905746
DeAndre Jordan\jordade01,0.07692000692810852
J.J. Redick\redicjj01,0.07694059063790848
Matt Thomas\thomama02,0.07700363130023213
Devon Dotson\dotsode01,0.07724878531237422
Seth Curry\curryse01,0.07742253730903204
Terry Rozier\roziete01,0.07749788271889013
Harry Giles\gilesha01,0.07756324462286157
Ersan İlyasova\ilyaser01,0.07765056464977527
Wesley Iwundu\iwundwe01,0.07779282884451044
Joe Ingles\inglejo01,0.0779680632487233
Andrew Wiggins\wiggian01,0.07831396027212711
Kawhi Leonard\leonaka01,0.07837898975795221
RJ Barrett\barrerj01,0.07851196973801244
James Nunnally\nunnaja01,0.07900849149692868
Donte DiVincenzo\divindo01,0.07902865886162713
Torrey Craig\craigto01,0.07913878849592437
Markus Howard\howarma02,0.07934891931427857
Amida Brimah\brimaam01,0.07950785491246126
